name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Happy bakes cake factory,"Main road, near calicut cafeteria, opp. Bank of boroda, Kondotty, Kerala 673638",097009 70808,"https://www.google.com/maps/place/Happy+bakes+cake+factory/@11.1446027,75.9149331,13z/data=!4m11!1m3!2m2!1sbakery+kondotty!6e5!3m6!1s0x3ba64fe6f879733f:0xe899aa810eecc2f7!8m2!3d11.1429484!4d75.9701492!15sCg9iYWtlcnkga29uZG90dHlaESIPYmFrZXJ5IGtvbmRvdHR5kgEGYmFrZXJ5qgFQCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhugU7w0fbd4ofS8Cd8NnlbiA9EwBrIEMrl2sjMyExACIg9iYWtlcnkga29uZG90dHngAQA!16s%2Fg%2F11j4dp63pq?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+kondotty,"11.1446027, 75.9149331",,Bakery and Cake Shop,Food_Businesses,4.4,119.0,₹200–400,Closes 11pm,⋅ Closes 11pm,No,Yes,Yes,No,Yes,No,Unknown,Yes,"·

Takeaway
·

Delivery
",delivery; takeaway,,1.0,Not Available,,,bakery kondotty,2025-08-09 21:23:11
Cake Studio | Kondotty,"1st floor, budget building, Kondotty Bypass Rd, Kondotty, Kerala 673638",097451 21313,"https://www.google.com/maps/place/Cake+Studio+%7C+Kondotty/@11.1446027,75.9149331,13z/data=!4m11!1m3!2m2!1sbakery+kondotty!6e5!3m6!1s0x3ba64f19dac75e75:0x2d7a6aa0b84d7c72!8m2!3d11.146916!4d75.9629916!15sCg9iYWtlcnkga29uZG90dHlaESIPYmFrZXJ5IGtvbmRvdHR5kgEGYmFrZXJ5qgFQCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhugU7w0fbd4ofS8Cd8NnlbiA9EwBrIEMrl2sjMyExACIg9iYWtlcnkga29uZG90dHngAQA!16s%2Fg%2F11fj79r7wr?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+kondotty,"11.1446027, 75.9149331",cakestudio.online,Bakery and Cake Shop,Food_Businesses,4.1,340.0,₹200–400,9:30pm,⋅ 9:30pm ⋅ Opens 9:30am Sun,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,bakery kondotty,2025-08-09 21:23:16
Cake Studio | Kondotty,"Star junction, Kondotty - Tirurangadi Rd, near silk star, Karipur, Kerala 673638",098471 31212,"https://www.google.com/maps/place/Cake+Studio+%7C+Kondotty/@11.1446027,75.9149331,13z/data=!4m11!1m3!2m2!1sbakery+kondotty!6e5!3m6!1s0x3ba64fb89aa4e381:0x907c2b20c80860e7!8m2!3d11.1455244!4d75.9642817!15sCg9iYWtlcnkga29uZG90dHlaESIPYmFrZXJ5IGtvbmRvdHR5kgEJY2FrZV9zaG9wqgFQCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhugU7w0fbd4ofS8Cd8NnlbiA9EwBrIEMrl2sjMyExACIg9iYWtlcnkga29uZG90dHngAQA!16s%2Fg%2F11qqq_d31q?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+kondotty,"11.1446027, 75.9149331",cakestudio.online,Cake shop,Food_Businesses,4.3,53.0,₹200–400,10pm,⋅ 10pm ⋅ Opens 9am Sun,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,bakery kondotty,2025-08-09 21:23:21
Sego Bakery,"4XW7+GGJ, Kozhikode - Palakkad Hwy, Janatha Bazar Rd, Kondotty, Kerala 673638",099953 82128,"https://www.google.com/maps/place/Sego+Bakery/@11.1446027,75.9149331,13z/data=!4m11!1m3!2m2!1sbakery+kondotty!6e5!3m6!1s0x3ba64f1de13c0c05:0x1d4d3d3b87c9411e!8m2!3d11.1463327!4d75.9637093!15sCg9iYWtlcnkga29uZG90dHlaESIPYmFrZXJ5IGtvbmRvdHR5kgEGYmFrZXJ5qgFQCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhugU7w0fbd4ofS8Cd8NnlbiA9EwBrIEMrl2sjMyExACIg9iYWtlcnkga29uZG90dHngAQA!16s%2Fg%2F11cp7nmgtk?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+kondotty,"11.1446027, 75.9149331",Claim this business,Bakery and Cake Shop,Food_Businesses,3.6,18.0,₹200–400,10pm,⋅ 10pm ⋅ Opens 8:31am Sun,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; takeaway; dine-in,,1.0,Not Available,,,bakery kondotty,2025-08-09 21:23:26
"BakeStories -Kottukara,kondotty","Musliyarangadi, Ozhukur Rd, Kondotty, Kerala 673632",099472 33499,"https://www.google.com/maps/place/BakeStories+-Kottukara,kondotty/@11.1446027,75.9149331,13z/data=!4m11!1m3!2m2!1sbakery+kondotty!6e5!3m6!1s0x3ba649fb736223ab:0x7667f59211d6e0f6!8m2!3d11.1404987!4d76.0039706!15sCg9iYWtlcnkga29uZG90dHlaESIPYmFrZXJ5IGtvbmRvdHR5kgEJY2FrZV9zaG9wmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU10TWxCWGExWjNFQUWqAVAKCi9tLzAyd3Y2dGgQASoKIgZiYWtlcnkoADIfEAEiG6BTvDR9t3ih9LwJ3w2eVuID0TAGsgQyuXayMzITEAIiD2Jha2VyeSBrb25kb3R0eeABAPoBBAgAED8!16s%2Fg%2F11q4m29dlj?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+kondotty,"11.1446027, 75.9149331",,Cake shop,Food_Businesses,4.8,164.0,₹200–400,Opens 9am Sun,⋅ Opens 9am Sun,No,Yes,Yes,No,Yes,No,Unknown,Yes,"·

Takeaway
·

Delivery
",delivery; takeaway,,1.0,Not Available,,,bakery kondotty,2025-08-09 21:23:30
KM Bakery Wholesale and Retail,"By pass jn, behind league office, Kondotty, Kerala 673638",095625 88684,"https://www.google.com/maps/place/KM+Bakery+Wholesale+and+Retail/@11.1446027,75.9149331,13z/data=!4m11!1m3!2m2!1sbakery+kondotty!6e5!3m6!1s0x3ba64f4e1cc9e4eb:0xc91cccc936cad81d!8m2!3d11.1458456!4d75.9646313!15sCg9iYWtlcnkga29uZG90dHlaESIPYmFrZXJ5IGtvbmRvdHR5kgEQd2hvbGVzYWxlX2Jha2VyeZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSZk4wOVFjVlpCRUFFqgFQCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhugU7w0fbd4ofS8Cd8NnlbiA9EwBrIEMrl2sjMyExACIg9iYWtlcnkga29uZG90dHngAQD6AQQIABAM!16s%2Fg%2F11vwdn723g?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+kondotty,"11.1446027, 75.9149331",,Wholesale bakery,Food_Businesses,5.0,2.0,₹200–400,9:30pm,⋅ 9:30pm ⋅ Opens 7am Sun,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,bakery kondotty,2025-08-09 21:23:35
AL AMEEN BAKES RESTO & CAFETERIA,"OLD BUS STAND, near Post office, Kondotty, Kerala 673638",,"https://www.google.com/maps/place/AL+AMEEN+BAKES+RESTO+%26+CAFETERIA/@11.1446027,75.9149331,13z/data=!4m11!1m3!2m2!1sbakery+kondotty!6e5!3m6!1s0x3ba64f0054cf1a4f:0xc828ed25917ee364!8m2!3d11.1458318!4d75.9667328!15sCg9iYWtlcnkga29uZG90dHlaESIPYmFrZXJ5IGtvbmRvdHR5kgEGYmFrZXJ5qgFQCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhugU7w0fbd4ofS8Cd8NnlbiA9EwBrIEMrl2sjMyExACIg9iYWtlcnkga29uZG90dHngAQA!16s%2Fg%2F11vk0cx2p_?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+kondotty,"11.1446027, 75.9149331",,Bakery and Cake Shop,Food_Businesses,5.0,2.0,₹200–400,Closes 10:30pm,⋅ Closes 10:30pm,No,No,No,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
",drive-through; dine-in,,1.0,Not Available,,,bakery kondotty,2025-08-09 21:23:40
Happy Bakes Cake Factory,"Safa tower, Airport junction, University road, Kondotty, Karipur, Kerala 673647",098479 70808,"https://www.google.com/maps/place/Happy+Bakes+Cake+Factory/@11.1454892,75.8758392,13z/data=!4m11!1m3!2m2!1sbakery+kondotty!6e5!3m6!1s0x3ba64f8c4b255147:0xb2a427fa85ebd0cd!8m2!3d11.1454892!4d75.947937!15sCg9iYWtlcnkga29uZG90dHlaESIPYmFrZXJ5IGtvbmRvdHR5kgEGYmFrZXJ5qgFQCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhugU7w0fbd4ofS8Cd8NnlbiA9EwBrIEMrl2sjMyExACIg9iYWtlcnkga29uZG90dHngAQA!16s%2Fg%2F11l5k41nvs?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+kondotty,"11.1454892, 75.8758392",,Bakery and Cake Shop,Food_Businesses,4.2,13.0,₹200–400,Closes 11pm,⋅ Closes 11pm,No,Yes,No,No,Yes,No,Unknown,Yes,"·

Takeaway
",takeaway,,1.0,Not Available,,,bakery kondotty,2025-08-09 21:23:45
Ponnoos Bakery,"5X53+5W2, Kondotty, Kerala 673647",098476 96498,"https://www.google.com/maps/place/Ponnoos+Bakery/@11.1454892,75.8758392,13z/data=!4m11!1m3!2m2!1sbakery+kondotty!6e5!3m6!1s0x3ba64f0f08e945f3:0x7f64b389e67bd8f4!8m2!3d11.1578952!4d75.9547805!15sCg9iYWtlcnkga29uZG90dHlaESIPYmFrZXJ5IGtvbmRvdHR5kgEGYmFrZXJ5qgFQCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhugU7w0fbd4ofS8Cd8NnlbiA9EwBrIEMrl2sjMyExACIg9iYWtlcnkga29uZG90dHngAQA!16s%2Fg%2F11c0z0yp18?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+kondotty,"11.1454892, 75.8758392",Claim this business,Bakery and Cake Shop,Food_Businesses,4.5,13.0,₹200–400,10pm,⋅ 10pm ⋅ Opens 8am Sun,No,Yes,No,No,Yes,No,Unknown,Yes,"·

Takeaway
",takeaway,,,Not Available,,,bakery kondotty,2025-08-09 21:23:50
Saudi Bakery,"Kondotty, Kerala 673638",,"https://www.google.com/maps/place/Saudi+Bakery/@11.1454892,75.8758392,13z/data=!4m11!1m3!2m2!1sbakery+kondotty!6e5!3m6!1s0x3ba64f1de410d1f3:0xe57561946b408f90!8m2!3d11.1461693!4d75.9634586!15sCg9iYWtlcnkga29uZG90dHlaESIPYmFrZXJ5IGtvbmRvdHR5kgEGYmFrZXJ5qgFQCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhugU7w0fbd4ofS8Cd8NnlbiA9EwBrIEMrl2sjMyExACIg9iYWtlcnkga29uZG90dHngAQA!16s%2Fg%2F11c0vxj9vv?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+kondotty,"11.1454892, 75.8758392",,Bakery and Cake Shop,Food_Businesses,3.5,21.0,₹200–400,Opens 12am Sun,⋅ Opens 12am Sun,No,Yes,No,No,Yes,No,Unknown,Yes,"·

Takeaway
",takeaway,,1.0,Not Available,,,bakery kondotty,2025-08-09 21:23:54
Stationery & Bakery and Cool Bar,"Kodangad Juma Masjid, Palakkad - Kozhikode Hwy, Kondotty, Karipur, Kerala 673638",,"https://www.google.com/maps/place/Stationery+%26+Bakery+and+Cool+Bar/@11.1454892,75.8758392,13z/data=!4m11!1m3!2m2!1sbakery+kondotty!6e5!3m6!1s0x3ba64ec4b338c689:0x7b2d8835bbae466a!8m2!3d11.1350003!4d75.9763622!15sCg9iYWtlcnkga29uZG90dHlaESIPYmFrZXJ5IGtvbmRvdHR5kgEGYmFrZXJ5qgFQCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhugU7w0fbd4ofS8Cd8NnlbiA9EwBrIEMrl2sjMyExACIg9iYWtlcnkga29uZG90dHngAQA!16s%2Fg%2F11g7z7nlk0?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+kondotty,"11.1454892, 75.8758392",Claim this business,Bakery and Cake Shop,Food_Businesses,4.0,45.0,₹200–400,9:30pm,⋅ 9:30pm ⋅ Opens 8am Sun,No,Yes,No,No,Yes,No,Unknown,Yes,"·

Takeaway
",takeaway,,,Not Available,,,bakery kondotty,2025-08-09 21:23:59
Priya Bakery,"4XW8+J73, Kondotty, Kerala 673638",092497 75415,"https://www.google.com/maps/place/Priya+Bakery/@11.1454892,75.8758392,13z/data=!4m11!1m3!2m2!1sbakery+kondotty!6e5!3m6!1s0x3ba64ffd9af47b57:0xd6441db637801e0a!8m2!3d11.1459211!4d75.9642498!15sCg9iYWtlcnkga29uZG90dHlaESIPYmFrZXJ5IGtvbmRvdHR5kgEGYmFrZXJ5qgFQCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhugU7w0fbd4ofS8Cd8NnlbiA9EwBrIEMrl2sjMyExACIg9iYWtlcnkga29uZG90dHngAQA!16s%2Fg%2F11sdrzz_yh?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+kondotty,"11.1454892, 75.8758392",Claim this business,Bakery and Cake Shop,Food_Businesses,4.3,3.0,₹200–400,,,No,Yes,Yes,No,Yes,No,Unknown,Yes,"·

Takeaway
·

Delivery
",delivery; takeaway,,,Not Available,,,bakery kondotty,2025-08-09 21:24:04
Apna Bakes & Snacks,"KP Mall, Kondotty Bypass Rd, Kondotty, Kerala 673638",,"https://www.google.com/maps/place/Apna+Bakes+%26+Snacks/@11.1454892,75.8758392,13z/data=!4m11!1m3!2m2!1sbakery+kondotty!6e5!3m6!1s0x3ba64f1de9e06243:0x6c737dc391709868!8m2!3d11.1466939!4d75.9626339!15sCg9iYWtlcnkga29uZG90dHlaESIPYmFrZXJ5IGtvbmRvdHR5kgEGYmFrZXJ5qgFQCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhugU7w0fbd4ofS8Cd8NnlbiA9EwBrIEMrl2sjMyExACIg9iYWtlcnkga29uZG90dHngAQA!16s%2Fg%2F11c1w0576p?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+kondotty,"11.1454892, 75.8758392",Claim this business,Bakery and Cake Shop,Food_Businesses,3.6,25.0,₹200–400,Opens 9am Sun,⋅ Opens 9am Sun,No,Yes,Yes,No,Yes,No,Unknown,Yes,"·

Takeaway
·

Delivery
",delivery; takeaway,,1.0,Not Available,,,bakery kondotty,2025-08-09 21:24:09
Henna Bakes,"Kaloth, Kondotty, Kerala 673638",094951 64141,"https://www.google.com/maps/place/Henna+Bakes/@11.1454892,75.8758392,13z/data=!4m11!1m3!2m2!1sbakery+kondotty!6e5!3m6!1s0x3ba64fa7e5012a59:0x8943927b797b029!8m2!3d11.1457914!4d75.9787829!15sCg9iYWtlcnkga29uZG90dHlaESIPYmFrZXJ5IGtvbmRvdHR5kgEJY2FrZV9zaG9wmgEjQ2haRFNVaE5NRzluUzBWTExYQnZkblpHYm5FM00yWjNFQUWqAVAKCi9tLzAyd3Y2dGgQASoKIgZiYWtlcnkoADIfEAEiG6BTvDR9t3ih9LwJ3w2eVuID0TAGsgQyuXayMzITEAIiD2Jha2VyeSBrb25kb3R0eeABAPoBBAgLECQ!16s%2Fg%2F11tf9k1cdq?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+kondotty,"11.1454892, 75.8758392",,Cake shop,Food_Businesses,4.9,21.0,₹200–400,,,No,Yes,Yes,No,Yes,No,Unknown,Yes,"·

Takeaway
·

Delivery
",delivery; takeaway,,1.0,Not Available,,,bakery kondotty,2025-08-09 21:24:14
Cake N Bake,"4XWC+MF, Kondotty, Kerala 673638",,"https://www.google.com/maps/place/Cake+N+Bake/@11.1454892,75.8758392,13z/data=!4m11!1m3!2m2!1sbakery+kondotty!6e5!3m6!1s0x3ba64f55e4494dab:0xc71571c737ca5b11!8m2!3d11.1466661!4d75.9711916!15sCg9iYWtlcnkga29uZG90dHlaESIPYmFrZXJ5IGtvbmRvdHR5kgEGYmFrZXJ5qgFQCgovbS8wMnd2NnRoEAEqCiIGYmFrZXJ5KAAyHxABIhugU7w0fbd4ofS8Cd8NnlbiA9EwBrIEMrl2sjMyExACIg9iYWtlcnkga29uZG90dHngAQA!16s%2Fg%2F11pysf8pg4?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+kondotty,"11.1454892, 75.8758392",Claim this business,Bakery and Cake Shop,Food_Businesses,4.5,13.0,₹200–400,,,No,No,No,No,No,No,Unknown,Yes,"·

Drive-through
",drive-through,,,Not Available,,,bakery kondotty,2025-08-09 21:24:18
