name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Faizee Fast Food,"CALICUT ROAD, Perinthalmanna, Kerala 679322",098471 84405,"https://www.google.com/maps/place/Faizee+Fast+Food/@10.9797247,76.1564989,13z/data=!4m11!1m3!2m2!1sfast+food+perinthalmanna!6e5!3m6!1s0x3ba7cc56bf37a23d:0x34d786d1e51cac7d!8m2!3d10.9764717!4d76.2181536!15sChhmYXN0IGZvb2QgcGVyaW50aGFsbWFubmFaGiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5hkgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAWQKCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIeEAEiGpqErxa-bmqVylI0cDyRBVVZTkXWTF-fF5okMhwQAiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5h4AEA!16s%2Fg%2F11c1l9t9mb?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+perinthalmanna,"10.9797247, 76.1564989",,Fast food restaurant,Specialty_Food,4.1,946.0,₹₹,Opens 9:30am,⋅ Opens 9:30am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

Delivery
",delivery; dine-in; drive-through,,1.0,Not Available,,,fast food perinthalmanna,2025-08-10 05:53:27
Faizee Fast Food - Jubilee Road Perinthalmanna,"X699+7VX, Jubilee Rd, Chathalloor, Perinthalmanna, Kerala 679322",099955 19405,"https://www.google.com/maps/place/Faizee+Fast+Food+-+Jubilee+Road+Perinthalmanna/@10.9797247,76.1564989,13z/data=!4m11!1m3!2m2!1sfast+food+perinthalmanna!6e5!3m6!1s0x3ba7cc526bcb5d29:0x9d1e981e7f7225f8!8m2!3d10.9706824!4d76.2204581!15sChhmYXN0IGZvb2QgcGVyaW50aGFsbWFubmFaGiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5hkgEKcmVzdGF1cmFudKoBZAoJL20vMDFfYmhzCggvbS8wMndibRABKg0iCWZhc3QgZm9vZCgAMh4QASIamoSvFr5uapXKUjRwPJEFVVlORdZMX58XmiQyHBACIhhmYXN0IGZvb2QgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11g9f_pwg7?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+perinthalmanna,"10.9797247, 76.1564989",wa.me,Restaurant,Specialty_Food,4.3,307.0,₹₹,Opens 9:30am,⋅ Opens 9:30am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,fast food perinthalmanna,2025-08-10 05:53:32
Just Loaf,"Just Loaf, Perinthalmanna Jubilee Bypass, Road, Perinthalmanna, Kerala 679322",088778 87817,"https://www.google.com/maps/place/Just+Loaf/@10.9797247,76.1564989,13z/data=!4m11!1m3!2m2!1sfast+food+perinthalmanna!6e5!3m6!1s0x3ba7cdeb179edc35:0xddc855761c5d1ebd!8m2!3d10.9882867!4d76.2252242!15sChhmYXN0IGZvb2QgcGVyaW50aGFsbWFubmFaGiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5hkgETYW1lcmljYW5fcmVzdGF1cmFudKoBZAoJL20vMDFfYmhzCggvbS8wMndibRABKg0iCWZhc3QgZm9vZCgAMh4QASIamoSvFr5uapXKUjRwPJEFVVlORdZMX58XmiQyHBACIhhmYXN0IGZvb2QgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11j611j_wc?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+perinthalmanna,"10.9797247, 76.1564989",justloaf.in,American restaurant,Specialty_Food,4.4,1733.0,₹₹,Opens 11am,⋅ Opens 11am,No,No,Yes,Yes,No,No,Unknown,Yes,"Stylish space offering burgers, steaks & other American favourites, plus milkshakes & mocktails.",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food perinthalmanna,2025-08-10 05:53:37
Moulana Restaurant,"Perinthalmanna - Nilambur Rd, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/Moulana+Restaurant/@10.9797247,76.1564989,13z/data=!4m11!1m3!2m2!1sfast+food+perinthalmanna!6e5!3m6!1s0x3ba7cdaabbd22eab:0x5f19383b32e00c93!8m2!3d10.9798299!4d76.2256631!15sChhmYXN0IGZvb2QgcGVyaW50aGFsbWFubmFaGiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5hkgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAWQKCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIeEAEiGpqErxa-bmqVylI0cDyRBVVZTkXWTF-fF5okMhwQAiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5h4AEA!16s%2Fg%2F1hm2txbm7?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+perinthalmanna,"10.9797247, 76.1564989",moulanahospital.com,Fast food restaurant,Specialty_Food,3.6,1261.0,₹₹,Closes 11pm,⋅ Closes 11pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; dine-in; takeaway,,1.0,Not Available,,,fast food perinthalmanna,2025-08-10 05:53:41
Chicking,"Baby Tower, Perinthalmanna, Kerala 679322",089433 38045,"https://www.google.com/maps/place/Chicking/@10.9797247,76.1564989,13z/data=!4m11!1m3!2m2!1sfast+food+perinthalmanna!6e5!3m6!1s0x3ba7cdaacfa1c71f:0xbc38ecb0e9a12d79!8m2!3d10.9887725!4d76.2266224!15sChhmYXN0IGZvb2QgcGVyaW50aGFsbWFubmFaGiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5hkgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAWQKCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIeEAEiGpqErxa-bmqVylI0cDyRBVVZTkXWTF-fF5okMhwQAiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5h4AEA!16s%2Fg%2F1wb8s3zy?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+perinthalmanna,"10.9797247, 76.1564989",chickingindia.in,Fast food restaurant,Specialty_Food,4.0,1362.0,₹₹,Opens 12pm,⋅ Opens 12pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,fast food perinthalmanna,2025-08-10 05:53:46
CROSSTOWN,"Bypass Road, Perinthalmanna, Kerala 679322",090902 20022,"https://www.google.com/maps/place/CROSSTOWN/@10.9797247,76.1564989,13z/data=!4m11!1m3!2m2!1sfast+food+perinthalmanna!6e5!3m6!1s0x3ba7cd6779e739c9:0xf7cd9383d82e3e8e!8m2!3d10.9828373!4d76.2210363!15sChhmYXN0IGZvb2QgcGVyaW50aGFsbWFubmFaGiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5hkgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAWQKCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIeEAEiGpqErxa-bmqVylI0cDyRBVVZTkXWTF-fF5okMhwQAiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5h4AEA!16s%2Fg%2F11thqggxcr?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+perinthalmanna,"10.9797247, 76.1564989",crosstownglobal.com,Fast food restaurant,Specialty_Food,4.6,204.0,₹₹,Opens 2pm,⋅ Opens 2pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food perinthalmanna,2025-08-10 05:53:51
CRUNCHICK Perinthalmanna,"opp. Myg future, Bypass Road, Manathumangalam, Perinthalmanna, Kerala 679321",073066 62455,"https://www.google.com/maps/place/CRUNCHICK+Perinthalmanna/@10.9797247,76.1564989,13z/data=!4m11!1m3!2m2!1sfast+food+perinthalmanna!6e5!3m6!1s0x3ba7cd5c89ae0b61:0xf18ca28eba0d5d1!8m2!3d10.9866177!4d76.2230761!15sChhmYXN0IGZvb2QgcGVyaW50aGFsbWFubmFaGiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5hkgEKcmVzdGF1cmFudKoBZAoJL20vMDFfYmhzCggvbS8wMndibRABKg0iCWZhc3QgZm9vZCgAMh4QASIamoSvFr5uapXKUjRwPJEFVVlORdZMX58XmiQyHBACIhhmYXN0IGZvb2QgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11sldg9v4l?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+perinthalmanna,"10.9797247, 76.1564989",,Restaurant,Specialty_Food,3.5,64.0,₹₹,Closes 11pm,⋅ Closes 11pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food perinthalmanna,2025-08-10 05:53:56
Döner Club Perinthalmanna,"Kozhikkode - Palakkad Bypass Rd, Kozhikode, Perinthalmanna, Kerala 679322",089431 01716,"https://www.google.com/maps/place/D%C3%B6ner+Club+Perinthalmanna/@10.9797247,76.1564989,13z/data=!4m11!1m3!2m2!1sfast+food+perinthalmanna!6e5!3m6!1s0x3ba7cde7b40a1365:0x4ed254d637861f61!8m2!3d10.9884281!4d76.2253041!15sChhmYXN0IGZvb2QgcGVyaW50aGFsbWFubmFaGiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5hkgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAWQKCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIeEAEiGpqErxa-bmqVylI0cDyRBVVZTkXWTF-fF5okMhwQAiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5h4AEA!16s%2Fg%2F11lnvmygs2?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+perinthalmanna,"10.9797247, 76.1564989",donerclub.in,Fast food restaurant,Specialty_Food,4.5,331.0,₹₹,Opens 2pm,Closed ⋅ Opens 2pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food perinthalmanna,2025-08-10 05:54:01
Kattanum Puttum Fast Food,"X6GF+J28, Shanti Nagar, Perinthalmanna, Kerala 679322",098950 61348,"https://www.google.com/maps/place/Kattanum+Puttum+Fast+Food/@10.9797247,76.1564989,13z/data=!4m11!1m3!2m2!1sfast+food+perinthalmanna!6e5!3m6!1s0x3ba7cde201baee23:0x242219d056aa6149!8m2!3d10.976393!4d76.2223623!15sChhmYXN0IGZvb2QgcGVyaW50aGFsbWFubmFaGiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5hkgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAWQKCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIeEAEiGpqErxa-bmqVylI0cDyRBVVZTkXWTF-fF5okMhwQAiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5h4AEA!16s%2Fg%2F11spx6xn30?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+perinthalmanna,"10.9797247, 76.1564989",,Fast food restaurant,Specialty_Food,3.9,123.0,₹₹,Opens 4:30pm,⋅ Opens 4:30pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

Delivery
",delivery; dine-in; drive-through,,1.0,Not Available,,,fast food perinthalmanna,2025-08-10 05:54:06
Shawarma Fusion Pmna,"Bus stand, Perinthalmanna Jubilee Bypass, near first cry, Padippura, Perinthalmanna, Kerala 679322",085906 96496,"https://www.google.com/maps/place/Shawarma+Fusion+Pmna/@10.9797247,76.1564989,13z/data=!4m11!1m3!2m2!1sfast+food+perinthalmanna!6e5!3m6!1s0x3ba7cda1697ff749:0x6d5a09b0b10decff!8m2!3d10.9847443!4d76.2211707!15sChhmYXN0IGZvb2QgcGVyaW50aGFsbWFubmFaGiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5hkgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAWQKCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIeEAEiGpqErxa-bmqVylI0cDyRBVVZTkXWTF-fF5okMhwQAiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5h4AEA!16s%2Fg%2F11t853wk3d?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+perinthalmanna,"10.9797247, 76.1564989",instagram.com,Fast food restaurant,Specialty_Food,4.1,100.0,₹₹,Opens 1:30pm,Closed ⋅ Opens 1:30pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food perinthalmanna,2025-08-10 05:54:10
Assinte Thattukada,"X6GC+PQP, Palakkad - Kozhikode Hwy, Perinthalmanna, Kerala 679322","Local Guide · 490 reviews · 3,049 photos","https://www.google.com/maps/place/Assinte+Thattukada/@10.9797247,76.1564989,13z/data=!4m11!1m3!2m2!1sfast+food+perinthalmanna!6e5!3m6!1s0x3ba7cdc496706127:0x87b14bd230b12065!8m2!3d10.9768443!4d76.2219432!15sChhmYXN0IGZvb2QgcGVyaW50aGFsbWFubmFaGiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5hkgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAWQKCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIeEAEiGpqErxa-bmqVylI0cDyRBVVZTkXWTF-fF5okMhwQAiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5h4AEA!16s%2Fg%2F11h3kzvfs0?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+perinthalmanna,"10.9797247, 76.1564989",Claim this business,Fast food restaurant,Specialty_Food,4.2,298.0,₹₹,Opens 9am,⋅ Opens 9am,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,fast food perinthalmanna,2025-08-10 05:54:15
Club Dine Restaurant,"Bypass Rd, Manathumangalam, Perinthalmanna, Angadipuram, Kerala 679322",090617 99994,"https://www.google.com/maps/place/Club+Dine+Restaurant/@10.9797247,76.1564989,13z/data=!4m11!1m3!2m2!1sfast+food+perinthalmanna!6e5!3m6!1s0x3ba7cd039bd18b37:0x7bef79aa32c8e73a!8m2!3d10.9874075!4d76.2233705!15sChhmYXN0IGZvb2QgcGVyaW50aGFsbWFubmFaGiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5hkgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAWQKCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIeEAEiGpqErxa-bmqVylI0cDyRBVVZTkXWTF-fF5okMhwQAiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5h4AEA!16s%2Fg%2F11l7934y5x?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+perinthalmanna,"10.9797247, 76.1564989",clubdine.in,Fast food restaurant,Specialty_Food,4.2,476.0,₹₹,Opens 12pm,⋅ Opens 12pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,fast food perinthalmanna,2025-08-10 05:54:20
Red Chef,"Red chef, Bypass road, near Alshifa bus stop, Padippura, Perinthalmanna, Kerala 679322",080891 34676,"https://www.google.com/maps/place/Red+Chef/@10.9797247,76.1564989,13z/data=!4m11!1m3!2m2!1sfast+food+perinthalmanna!6e5!3m6!1s0x3ba7cd516bac206b:0x97c68680c288d91e!8m2!3d10.9855754!4d76.2218972!15sChhmYXN0IGZvb2QgcGVyaW50aGFsbWFubmFaGiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5hkgEUaGFtYnVyZ2VyX3Jlc3RhdXJhbnSqAWQKCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIeEAEiGpqErxa-bmqVylI0cDyRBVVZTkXWTF-fF5okMhwQAiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5h4AEA!16s%2Fg%2F11l30dn_f1?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+perinthalmanna,"10.9797247, 76.1564989",redchef.in,Hamburger restaurant,Specialty_Food,3.7,180.0,₹₹,Opens 1:30pm,⋅ Opens 1:30pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Kerbside pickup
·

No-contact delivery
",dine-in; no-contact delivery; kerbside pickup,,1.0,Not Available,,,fast food perinthalmanna,2025-08-10 05:54:25
KFC,"No 19/425 A & B, Gr Flr, HITON Tower Calicut Road, near Byepass, Junction, Perinthalmanna, Kerala 679322",089212 18500,"https://www.google.com/maps/place/KFC/@10.9797247,76.1564989,13z/data=!4m11!1m3!2m2!1sfast+food+perinthalmanna!6e5!3m6!1s0x3ba7cdf913d9429b:0x7cb9f8a7b3b0d40c!8m2!3d10.9770745!4d76.218427!15sChhmYXN0IGZvb2QgcGVyaW50aGFsbWFubmFaGiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5hkgEKcmVzdGF1cmFudKoBZAoJL20vMDFfYmhzCggvbS8wMndibRABKg0iCWZhc3QgZm9vZCgAMh4QASIamoSvFr5uapXKUjRwPJEFVVlORdZMX58XmiQyHBACIhhmYXN0IGZvb2QgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11cr_cy4bn?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+perinthalmanna,"10.9797247, 76.1564989",restaurants.kfc.co.in,Restaurant,Specialty_Food,3.9,2363.0,₹₹,Opens 12pm,⋅ Opens 12pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"Restaurant chain known for its buckets of fried chicken, plus combo meals & sides.",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,fast food perinthalmanna,2025-08-10 05:54:30
POGGOP FRIED & NAWABI RESTAURANT,"Madrassa Complex, Bypass Road, Kakkoth, Perinthalmanna, Kerala 679322",090741 62010,"https://www.google.com/maps/place/POGGOP+FRIED+%26+NAWABI+RESTAURANT/@10.9797247,76.1564989,13z/data=!4m11!1m3!2m2!1sfast+food+perinthalmanna!6e5!3m6!1s0x3ba7cd1004f98037:0xfd29597516c6f29f!8m2!3d10.9867994!4d76.2290967!15sChhmYXN0IGZvb2QgcGVyaW50aGFsbWFubmFaGiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5hkgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAWQKCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIeEAEiGpqErxa-bmqVylI0cDyRBVVZTkXWTF-fF5okMhwQAiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5h4AEA!16s%2Fg%2F11vxq1kl08?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+perinthalmanna,"10.9797247, 76.1564989",,Fast food restaurant,Specialty_Food,3.8,39.0,₹₹,Opens 12pm,⋅ Opens 12pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Kerbside pickup
·

No-contact delivery
",dine-in; no-contact delivery; kerbside pickup,,1.0,Not Available,,,fast food perinthalmanna,2025-08-10 05:54:35
Fluffy Fried Chicken,"Ootty Rd, opp. planet cafe, Valiyangadi, Perinthalmanna, Kerala 679322",099465 00089,"https://www.google.com/maps/place/Fluffy+Fried+Chicken/@10.9797247,76.1564989,13z/data=!4m11!1m3!2m2!1sfast+food+perinthalmanna!6e5!3m6!1s0x3ba7cd0c146c32dd:0x4e349e663d48b69a!8m2!3d10.9852541!4d76.2258391!15sChhmYXN0IGZvb2QgcGVyaW50aGFsbWFubmFaGiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5hkgEKcmVzdGF1cmFudKoBZAoJL20vMDFfYmhzCggvbS8wMndibRABKg0iCWZhc3QgZm9vZCgAMh4QASIamoSvFr5uapXKUjRwPJEFVVlORdZMX58XmiQyHBACIhhmYXN0IGZvb2QgcGVyaW50aGFsbWFubmHgAQA!16s%2Fg%2F11rcqks7ld?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+perinthalmanna,"10.9797247, 76.1564989",,Restaurant,Specialty_Food,3.7,80.0,₹₹,Opens 11am,⋅ Opens 11am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,fast food perinthalmanna,2025-08-10 05:54:39
Pogo grill fried Chicken (),"Pearl Tower, Bypass Jn. Calicut road, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/Pogo+grill+fried+Chicken+()/@10.9797247,76.1564989,13z/data=!4m11!1m3!2m2!1sfast+food+perinthalmanna!6e5!3m6!1s0x3ba7cdeb1ec17623:0x819e0bc9679d9d64!8m2!3d10.9766991!4d76.2198786!15sChhmYXN0IGZvb2QgcGVyaW50aGFsbWFubmFaGiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5hkgESY2hpY2tlbl9yZXN0YXVyYW50qgFkCgkvbS8wMV9iaHMKCC9tLzAyd2JtEAEqDSIJZmFzdCBmb29kKAAyHhABIhqahK8Wvm5qlcpSNHA8kQVVWU5F1kxfnxeaJDIcEAIiGGZhc3QgZm9vZCBwZXJpbnRoYWxtYW5uYeABAA!16s%2Fg%2F11svmzhnx0?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+perinthalmanna,"10.9797247, 76.1564989",quickcompany.in,Chicken restaurant,Specialty_Food,3.9,105.0,₹₹,Closes 11:30am,⋅ Closes 11:30am ⋅ Reopens 12pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,fast food perinthalmanna,2025-08-10 05:54:44
FOOD COURT -Ramdas Hospital Canteen,"X6GJ+24V, KSHB Colony, Perinthalmanna, Kerala 679322",,"https://www.google.com/maps/place/FOOD+COURT+-Ramdas+Hospital+Canteen/@10.9797247,76.1564989,13z/data=!4m11!1m3!2m2!1sfast+food+perinthalmanna!6e5!3m6!1s0x3ba7cdac03c87885:0x94b6f039f1823f1e!8m2!3d10.9751022!4d76.2303046!15sChhmYXN0IGZvb2QgcGVyaW50aGFsbWFubmFaGiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5hkgEKcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VRMmNUWjZjR3BuUlJBQqoBZAoJL20vMDFfYmhzCggvbS8wMndibRABKg0iCWZhc3QgZm9vZCgAMh4QASIamoSvFr5uapXKUjRwPJEFVVlORdZMX58XmiQyHBACIhhmYXN0IGZvb2QgcGVyaW50aGFsbWFubmHgAQD6AQQIKxAN!16s%2Fg%2F11dzstjs2v?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+perinthalmanna,"10.9797247, 76.1564989",Claim this business,Restaurant,Specialty_Food,3.3,136.0,₹₹,Open 24 hours,Open 24 hours,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,fast food perinthalmanna,2025-08-10 05:54:49
INSTA KITCHEN,"12, Calicut Road, near Ayisha Complex, Perinthalmanna, Kerala 679322",070124 47857,"https://www.google.com/maps/place/INSTA+KITCHEN/@10.9797247,76.1564989,13z/data=!4m11!1m3!2m2!1sfast+food+perinthalmanna!6e5!3m6!1s0x3ba7cdfc403d2a79:0xe215892900af97f!8m2!3d10.9766613!4d76.2192315!15sChhmYXN0IGZvb2QgcGVyaW50aGFsbWFubmFaGiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5hkgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAWQKCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIeEAEiGpqErxa-bmqVylI0cDyRBVVZTkXWTF-fF5okMhwQAiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5h4AEA!16s%2Fg%2F11qg4sk930?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+perinthalmanna,"10.9797247, 76.1564989",,Fast food restaurant,Specialty_Food,4.4,43.0,₹₹,Opens 10am,⋅ Opens 10am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; dine-in; takeaway,,1.0,Not Available,,,fast food perinthalmanna,2025-08-10 05:54:54
Chicky Lickin,"Chicky Lickin, Puzhakkattiri - Panangangara Rd, Perinthalmanna, Kerala 679321",062820 00130,"https://www.google.com/maps/place/Chicky+Lickin/@10.9784422,76.0929953,13z/data=!4m11!1m3!2m2!1sfast+food+perinthalmanna!6e5!3m6!1s0x3ba7cbe06046b0cd:0x875c503e57efe684!8m2!3d10.9784422!4d76.1650931!15sChhmYXN0IGZvb2QgcGVyaW50aGFsbWFubmFaGiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5hkgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAWQKCS9tLzAxX2JocwoIL20vMDJ3Ym0QASoNIglmYXN0IGZvb2QoADIeEAEiGpqErxa-bmqVylI0cDyRBVVZTkXWTF-fF5okMhwQAiIYZmFzdCBmb29kIHBlcmludGhhbG1hbm5h4AEA!16s%2Fg%2F11lz00c3rt?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",fast+food+perinthalmanna,"10.9784422, 76.0929953",,Fast food restaurant,Specialty_Food,4.9,57.0,₹₹,Opens 3pm,⋅ Opens 3pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Kerbside pickup
·

No-contact delivery
",dine-in; no-contact delivery; kerbside pickup,,1.0,Not Available,,,fast food perinthalmanna,2025-08-10 05:54:59
